business_area_id,user_id,user_tna,question_id,weightage,response,doc_id
fgT0OfrgvOqwyNV5U9O4,AxbQdVAMi6RnaGD1ffaiyudAYD72,nvvrkIoFMIZ3xX55Hknq,YJiuGvrh6U3lSnSv2Akr,5,1,04DkqeDniggb2xDqjD8r
NiMRMd5crjCRGotyphUJ,Vcz6mgAq33PXyLZy3FNXCU8HjjF2,zMaa82j906iT1Q7ve2Sx,RSjbocSeDnKZ5rAAxSVs,5,3,04JVizEguMqADg6jaEn2
fgT0OfrgvOqwyNV5U9O4,VeFvxsJLbIP0IJFhHXiXHcMuRqW2,yMg8912wPHDgVqEnsnRk,UmXl7WEYJeOlWdFlOxrH,5,4,04OGw1n502EL8hjmPqot
DVhvy8x4RkF1e33R0LCW,6ffEObDRrFVzKaAgvjLO6z7cjt83,LrVT9UQ7oZ9pTGF7y23O,F6uYbv01RK5gB5bxhF8d,5,4,04i0MZiw3hac8z1bhiwI
GmrHNRRC2s4lKGXPtLRB,p7LVtEJMLPVmm6nyQTOWNb3h7uD2,zzCGOrkEJcpagAS9dZF1,PtfiX8Fr178weWNEhH3v,5,1,04moHHY6AIW5BqOJRiqI
fgT0OfrgvOqwyNV5U9O4,3WmBCK9tWrPKuUTkjUL0n1hSufj1,oNrYrtOg8dmBXf81oQt1,XN8muNQZCImSXZPxedCd,5,4,04qoI5LDy6HkjU5ekPrN
5XJc8NmM7JP4byHGNGQ9,P826jMa6MjX1bsbNvzrQwb5OBNq2,jtqOcwTOzNg6OayeM5aC,BxHSuB2c3ZbxttqYLJHm,5,5,04x9EqdXisdlw6n9Fxlh
5XJc8NmM7JP4byHGNGQ9,rm4pd1xh8wNceCCHru6hs1J1cUD2,qgdvaqMc9fN0kwRsfnsU,LQLIVlksxormTmLxeZHf,5,4,04ziM5VlvVEkAxSWfoqq
NiMRMd5crjCRGotyphUJ,X40Nhn67iBao6OocQC9XLLFJK0l2,nox3eeJZPlJ7qexh7x5n,CgWji7fnFqIDS3MrZUua,5,3,04zr1Rk54kw8mWNl2d0P
DVhvy8x4RkF1e33R0LCW,z67H2Si4VeO4XSSkduoaynhdUbb2,JgA5WH1n9jRLIQRIQ3a6,ID7zRHIxcOnCU5T0Zd2T,5,4,051wdaW6DYIfUF2neYuu
fgT0OfrgvOqwyNV5U9O4,t5wI4cywqneWzvbDycMBlr4hnFI3,w0csSWLcRHR83ASSx2MC,q5xQTFdGgFsei2AVjQnf,5,2,05JABvhSsITGOAByFLPM
5XJc8NmM7JP4byHGNGQ9,uiQuouaa03XRuHpFMnAd3Eh3C5v2,ZSgW046qInu3REMODXlu,SwjiKVJ9jlB8yjvaxXmH,5,5,05KKtMH99QvDQcqrmOiR
DVhvy8x4RkF1e33R0LCW,pQiCP2bVXXOcb7dDhT9RZixs3Gv2,0u8WEFW3eTRP3x8QPRhQ,0d3J1fAK1tHCTQXaEZcj,5,4,05KWl02rwgAK1rhTRnTN
NiMRMd5crjCRGotyphUJ,i9RucVtiVmgzHNZHtlqENWV4hGB3,S0jkbPtgiiCcwUCq0gkh,MoOJOLH7KDcRNuKl7nN2,5,2,05Z2rRu1qA4WTSMy87ec
DVhvy8x4RkF1e33R0LCW,yN5irkexTeOcK7s7pQAjQRjGefx1,59E4OFi8ridbYGGnQl5i,XGJdR1sdAhPf8AVe3WI1,5,4,05Z3TwLEVjAQUfAvhaW1
GmrHNRRC2s4lKGXPtLRB,OFUhmIKRkbXruvTnaXJDtFRMIu73,8isbYzBNo5sFRLLNQkLZ,MvLAJuo9x2rJZiYZ33F8,5,4,05zizBer10gaDn3OCgVw
5XJc8NmM7JP4byHGNGQ9,UmnLFPI0RDPrPNXfEJVy5ZdDK1P2,4TrNV9lE1gbhdz6TVjp1,ovpPGhbNPeDKN2Vr8ybJ,5,4,063K5dACtTyhc3wyalUZ
GmrHNRRC2s4lKGXPtLRB,5trz9QKN90SmfzH66feRsp4ELZ93,QDkaM15qP3hY6TlIOhee,pBmtwAsuPaSrUXJtNaGn,5,5,06BWlUGU9uVAUiQyg62w
GmrHNRRC2s4lKGXPtLRB,QjIQw0CV4gMEodsT7HTI96YrIxp1,ugi7MTPLUNXyt0yAV37i,HVKGdOzNREAE8pJgXRO0,5,2,06Q3rSkdzWdvwPX1gUXx
GmrHNRRC2s4lKGXPtLRB,ITtRDRwAYfTc4U3H13f6ADEy1ov1,qQuzlkGxRKl5dR6TKVJH,aRgu6AYiRPdbp3n6p4EE,5,3,06jJAy3p9UfGsGqXdaNm
fgT0OfrgvOqwyNV5U9O4,xaRlyzmu3JXW347FrPVCtGb9mbH3,kSfXaQe6BWzsajJA9tfa,glidtiLciCHjuNeJkJK7,5,2,07Ov635VofeNgs0jYQ2l
5XJc8NmM7JP4byHGNGQ9,CPSI3GoVzmUKdo8Su59KnstGnUH2,zJHRajVb8WRQyv24VYqH,iENN2qiTC7HBAs0sgPeF,5,5,07PlW2jHmKLZVg2QMkgE
fgT0OfrgvOqwyNV5U9O4,xqcuA52VJJgAexdkg6ThR4bYaaN2,VQD9wbtRUFhQBIeg4ieA,YJiuGvrh6U3lSnSv2Akr,5,1,07X3PzxvlO7wJqIC7JMJ
NiMRMd5crjCRGotyphUJ,Ilu1l56rhXR2ONBr8m6SjoJpvhD3,1wK9qtiGWf6QL8nyBrY2,HBNfBRZextul9OeoILWv,5,5,07fScMmNw00dPRX0aypy
GmrHNRRC2s4lKGXPtLRB,NOf6XD8O9vMWKIviWqV3PanZpPk1,XKcHpa35vM69oTBa5VDr,dtXgJKYhvyx5C7WkUg5w,5,1,07flRYgZ1pr9LooDTtzi
